iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
226,0.260475,1.578021764755249,0.08267955482006073,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
227,0.26037756,1.575064778327942,0.08219761401414871,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
228,0.26011378,1.5624333620071411,0.08072521537542343,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
229,0.26022914,1.5675218105316162,0.08136309683322906,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
230,0.2600735,1.564197063446045,0.08088795840740204,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
231,0.25984222,1.5656135082244873,0.08102589100599289,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
232,0.25927284,1.5814305543899536,0.08303199708461761,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
233,0.2587955,1.5772523880004883,0.08254367113113403,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
234,0.25840873,1.578477382659912,0.0824877917766571,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
235,0.25821912,1.5781822204589844,0.08229833096265793,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
236,0.25775734,1.5794932842254639,0.08246144652366638,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
237,0.25741684,1.5769394636154175,0.08231513202190399,3,150,10,500,10,0.0,0.001,10,False,0.01,30,1500
