iter,data_n_clusters_2.0_mean,data_n_clusters_2.0_upper,data_n_clusters_2.0_lower,data_n_clusters_3.0_mean,data_n_clusters_3.0_upper,data_n_clusters_3.0_lower,data_n_clusters_5.0_mean,data_n_clusters_5.0_upper,data_n_clusters_5.0_lower,data_n_clusters_10.0_mean,data_n_clusters_10.0_upper,data_n_clusters_10.0_lower
91,0.03326689396053547,0.03415992863174795,0.03237385928932299,0.20435641258955,0.20719631581315648,0.20151650936594354,0.5075233012437821,0.5166221099792794,0.4984244925082848,0.9281355381011963,0.9364935562459218,0.9197775199564708
92,0.03305877260863776,0.03386325294157304,0.03225429227570248,0.20518918186426158,0.20847657264975553,0.20190179107876763,0.5056334674358368,0.5145580435336312,0.49670889133804247,0.927012711763382,0.9356181432481476,0.9184072802786163
93,0.03290397748351091,0.033665960531569686,0.03214199443545214,0.206617134809494,0.21017708828424547,0.20305718133474254,0.5043146014213562,0.5123996411213906,0.4962295617213219,0.9225911319255828,0.9311087624279116,0.914073501423254
94,0.032457381300628155,0.033075282955465087,0.03183947964579122,0.20540971755981446,0.20865599314735833,0.2021634419722706,0.5034868746995926,0.511926818828718,0.49504693057046717,0.920718652009964,0.9304226870124747,0.9110146170074532
95,0.03254364561289544,0.033081247408283165,0.03200604381750771,0.20406056344509124,0.2070636498229698,0.2010574770672127,0.4993734747171402,0.5065334062502056,0.4922135431840749,0.9127966105937958,0.9231121053137619,0.9024811158738297
96,0.03278449401259419,0.033434031597797655,0.03213495642739072,0.20426632165908815,0.20806735662891024,0.20046528668926605,0.4999709576368332,0.5074840524882368,0.49245786278542963,0.9129488527774811,0.9231231308304904,0.9027745747244718
97,0.032981181330978826,0.03362766614517245,0.0323346965167852,0.20320307314395905,0.20743069982924142,0.19897544645867668,0.5001148521900177,0.5084546320450746,0.49177507233496087,0.9101566851139069,0.9221056158285622,0.8982077543992516
98,0.03293771017342802,0.03389619163428644,0.03197922871256959,0.2022864356637001,0.20668411316629626,0.19788875816110396,0.4937028527259827,0.502520566940841,0.48488513851112436,0.9115781128406525,0.9234977968777468,0.8996584288035582
99,0.03247128147631879,0.033316551712572605,0.03162601124006497,0.20081386566162104,0.20450217307224278,0.1971255582509993,0.49404086768627165,0.5044145587485866,0.48366717662395664,0.9107083439826965,0.9224260353925273,0.8989906525728657
100,0.032138901017606206,0.032811717678596745,0.031466084356615666,0.20104995667934414,0.20431184735603103,0.19778806600265725,0.4911182701587677,0.5015554385997185,0.4806811017178169,0.9059823155403137,0.9159573182629296,0.8960073128176979
101,0.03166613299399608,0.032427813483972945,0.030904452504019214,0.20179413408041,0.20445842731711483,0.19912984084370516,0.4880013704299927,0.49795228290661603,0.47805045795336937,0.9064362943172455,0.9161843420823325,0.8966882465521585
102,0.031359734944999156,0.03230559900091238,0.030413870889085932,0.20027314573526378,0.20309688872641432,0.19744940274411324,0.48621133267879485,0.49549864117967246,0.47692402417791724,0.9093477249145507,0.9179770427614913,0.9007184070676102
103,0.0305310314521193,0.03132634123275812,0.02973572167148048,0.19936279058456421,0.20193524233923174,0.1967903388298967,0.4857712805271149,0.4955452128644458,0.47599734818978395,0.9107335925102233,0.9181164661103767,0.90335071891007
104,0.03029425702989098,0.030965946015031064,0.029622568044750896,0.19954582303762433,0.20257543144188664,0.19651621463336202,0.4890019714832306,0.49741904376467083,0.48058489920179037,0.9120029211044312,0.9201460748960766,0.9038597673127857
105,0.030685214512050092,0.0313594827888011,0.030010946235299082,0.19724606722593307,0.19989728573096982,0.19459484872089633,0.486059182882309,0.49497619544513854,0.4771421703194794,0.9113354980945587,0.9201829391803281,0.9024880570087893
106,0.03021923508495088,0.030772308110050467,0.029666162059851293,0.19614266008138653,0.19953588040274128,0.19274943976003178,0.4867400795221329,0.49581248099080416,0.4776676780534616,0.9100983798503876,0.9183517519948501,0.901845007705925
107,0.03033844884485002,0.03083106971883589,0.02984582797086415,0.19678604304790495,0.2000121361286179,0.193559949967192,0.48795667886734007,0.49613745502043577,0.47977590271424436,0.9107651054859162,0.9205974565526549,0.9009327544191774
