iter,data_noise_scale_0.1_mean,data_noise_scale_0.1_upper,data_noise_scale_0.1_lower,data_noise_scale_0.5_mean,data_noise_scale_0.5_upper,data_noise_scale_0.5_lower,data_noise_scale_1.0_mean,data_noise_scale_1.0_upper,data_noise_scale_1.0_lower,data_noise_scale_1.5_mean,data_noise_scale_1.5_upper,data_noise_scale_1.5_lower
93,0.16126742810010905,0.1619097282663526,0.1606251279338655,0.18058964312076567,0.1812688040704628,0.17991048217106853,0.24252728621164954,0.24354779949502758,0.2415067729282715,0.34661549925804136,0.3476450999776269,0.34558589853845584
94,0.15700139254331585,0.1577352087498833,0.1562675763367484,0.17655802071094512,0.1772329695557712,0.17588307186611904,0.23957536617914835,0.24049320542097477,0.23865752693732192,0.3448072910308838,0.34580361668927034,0.3438109653724973
95,0.15330837219953536,0.1540194947623831,0.1525972496366876,0.1727452054619789,0.17343186683932288,0.17205854408463495,0.23668711880842838,0.2384406388112281,0.23493359880562867,0.3421353489160538,0.3433416210082965,0.3409290768238111
96,0.14958323687314987,0.15008017523336215,0.1490862985129376,0.16892601400613783,0.16962601003656497,0.16822601797571068,0.23415102064609525,0.23590728458513255,0.23239475670705795,0.34021827876567834,0.34141705765928654,0.33901949987207014
97,0.14691421091556547,0.14766252233533755,0.1461658994957934,0.16579664647579193,0.16666196545717496,0.1649313274944089,0.23066151638825735,0.23236922112504316,0.22895381165147155,0.340001055598259,0.3408428968593387,0.33915921433717927
98,0.14305984824895854,0.14377413479573423,0.14234556170218285,0.16304487287998198,0.16364185791867536,0.1624478878412886,0.22952598333358765,0.23057411705909078,0.2284778496080845,0.3388676106929779,0.33991014856017326,0.3378250728257825
99,0.13997073471546168,0.14065439451990994,0.13928707491101341,0.16038610339164733,0.1611196071361149,0.15965259964717976,0.2266154090563456,0.2278352689713656,0.22539554914132562,0.33693928420543673,0.33775783888243277,0.3361207295284407
100,0.1364742934703827,0.13706877254643102,0.1358798143943344,0.15715380311012267,0.15793495971341986,0.15637264650682547,0.22378883262475333,0.22561331695987055,0.2219643482896361,0.3351952016353607,0.3360366140919292,0.3343537891787922
101,0.1341227680444717,0.1347312695051911,0.13351426658375232,0.1547841504216194,0.1556135293799627,0.15395477146327607,0.22282096246878302,0.22401777929451816,0.2216241456430479,0.3332244575023651,0.33418092703878,0.33226798796595025
102,0.1316349402070045,0.13220167588395268,0.13106820453005633,0.15254325717687606,0.1532488428592573,0.1518376714944948,0.2199423064788182,0.22131190050902097,0.21857271244861545,0.3314996808767319,0.33243734037103073,0.330562021382433
