iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
275,3.6584064e-05,1.8802362e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
276,3.5528457e-05,1.8317853e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
277,3.449616e-05,1.8352557e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
278,3.3572443e-05,1.745842e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
279,3.2670865e-05,1.616109e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
280,3.1767024e-05,1.6291977e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
281,3.0836414e-05,1.5766818e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
282,2.9846762e-05,1.4345054e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
283,2.8886165e-05,1.3787628e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
284,2.7920314e-05,1.3554646e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
285,2.705036e-05,1.3003822e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
286,2.6311336e-05,1.1476134e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
287,2.5623356e-05,1.1741586e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
288,2.4930874e-05,1.0488126e-05,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
289,2.418489e-05,9.857243e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
290,2.3445404e-05,9.605497e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
291,2.2778306e-05,9.598432e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
292,2.2235547e-05,8.739698e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
293,2.1715701e-05,8.851418e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
294,2.1159985e-05,8.322926e-06,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
