iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_classes,data_n_samples,data_n_samples_val,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_momentum,algo_lrate_decay,algo_S,algo_R,algo_R_local
168,0.27040538,0.3390500545501709,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
169,0.24923365,0.3417000472545624,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
170,0.25111228,0.34730005264282227,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
171,0.2516697,0.344650000333786,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
172,0.26679438,0.3404500186443329,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
173,0.2683313,0.3438500463962555,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
174,0.344855,0.33889999985694885,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
175,0.27682346,0.3401000499725342,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
176,0.280554,0.33730003237724304,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
177,0.2586841,0.34025004506111145,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
178,0.21076135,0.34450003504753113,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
179,0.20532036,0.346900075674057,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
180,0.28241894,0.3407500684261322,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
181,0.28942612,0.3379000425338745,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
182,0.26054612,0.3452500104904175,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
183,0.38800335,0.33820003271102905,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
184,0.26472378,0.34610000252723694,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
185,0.19280502,0.3502500057220459,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
186,0.1887171,0.3502500653266907,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
187,0.18629894,0.34870001673698425,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
188,0.19215062,0.34505006670951843,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
189,0.1870549,0.3469500243663788,20,1,10,500,1000,1,"(3, 32, 32)",10,0.01,0.0,0.999,10,500,5
